terms     sum_up           sum_down         rel_diff      
 281250   1.31241875e+01   1.31242237e+01   2.76128139e-06
 284375   1.31361084e+01   1.31352758e+01   6.33813324e-05
 287500   1.31480293e+01   1.31462040e+01   1.38839008e-04
 290625   1.31599503e+01   1.31570311e+01   2.21848924e-04
 293750   1.31718712e+01   1.31677265e+01   3.14710080e-04
 296875   1.31837921e+01   1.31782932e+01   4.17181407e-04
 300000   1.31953249e+01   1.31887655e+01   4.97221772e-04
 303125   1.32042656e+01   1.31991215e+01   3.89656023e-04
 306250   1.32132063e+01   1.32094011e+01   2.88023090e-04
 309375   1.32221470e+01   1.32195415e+01   1.97070491e-04
 312500   1.32310877e+01   1.32295933e+01   1.12953079e-04
 315625   1.32400284e+01   1.32395411e+01   3.68078181e-05
 318750   1.32489691e+01   1.32494011e+01   3.26068694e-05
 321875   1.32579098e+01   1.32591372e+01   9.25728164e-05
 325000   1.32668505e+01   1.32688074e+01   1.47495099e-04
 328125   1.32757912e+01   1.32784071e+01   1.97025613e-04
 331250   1.32847319e+01   1.32878752e+01   2.36582768e-04
 334375   1.32936726e+01   1.32972422e+01   2.68482894e-04
 337500   1.33026133e+01   1.33065605e+01   2.96683982e-04
 340625   1.33115540e+01   1.33157606e+01   3.15965590e-04
 343750   1.33204947e+01   1.33249140e+01   3.31713934e-04
 346875   1.33294353e+01   1.33339415e+01   3.38000042e-04
 350000   1.33383760e+01   1.33429146e+01   3.40203638e-04
 353125   1.33473167e+01   1.33518200e+01   3.37333011e-04
 356250   1.33562574e+01   1.33606129e+01   3.26043461e-04
 359375   1.33651981e+01   1.33693619e+01   3.11487616e-04
 362500   1.33741388e+01   1.33780136e+01   2.89679767e-04
 365625   1.33830795e+01   1.33866005e+01   2.63056223e-04
 368750   1.33920202e+01   1.33950882e+01   2.29063196e-04
 371875   1.34009609e+01   1.34035540e+01   1.93477885e-04
 375000   1.34099016e+01   1.34119015e+01   1.49121595e-04
 378125   1.34188423e+01   1.34201984e+01   1.01056139e-04
 381250   1.34277830e+01   1.34284458e+01   4.93593980e-05
 384375   1.34367237e+01   1.34366035e+01   8.94291679e-06
 387500   1.34456644e+01   1.34446945e+01   7.21363976e-05
 390625   1.34546051e+01   1.34527407e+01   1.38581730e-04
 393750   1.34635458e+01   1.34606895e+01   2.12169776e-04
 396875   1.34724865e+01   1.34686337e+01   2.86019611e-04
 400000   1.34814272e+01   1.34764490e+01   3.69330286e-04
 403125   1.34903679e+01   1.34842558e+01   4.53173969e-04
 406250   1.34993086e+01   1.34919357e+01   5.46314637e-04
 409375   1.35082493e+01   1.34996262e+01   6.38563593e-04
 412500   1.35171900e+01   1.35072155e+01   7.38183095e-04
 415625   1.35261307e+01   1.35147896e+01   8.38809821e-04
 418750   1.35350714e+01   1.35222731e+01   9.46013723e-04
 421875   1.35416803e+01   1.35297127e+01   8.84155394e-04
 425000   1.35476408e+01   1.35370731e+01   7.80341623e-04
 428125   1.35536013e+01   1.35444164e+01   6.77897362e-04
 431250   1.35595617e+01   1.35516510e+01   5.83576155e-04
 434375   1.35655222e+01   1.35589314e+01   4.85970580e-04
 437500   1.35714827e+01   1.35660486e+01   4.00481251e-04
 440625   1.35774431e+01   1.35731640e+01   3.15214798e-04
 443750   1.35834036e+01   1.35802574e+01   2.31645623e-04
 446875   1.35893641e+01   1.35872555e+01   1.55175585e-04
 450000   1.35953245e+01   1.35942526e+01   7.88485922e-05
 453125   1.36012850e+01   1.36011553e+01   9.53588733e-06
 456250   1.36072454e+01   1.36080256e+01   5.73285179e-05
 459375   1.36132059e+01   1.36148720e+01   1.22378740e-04
 462500   1.36191664e+01   1.36216173e+01   1.79946583e-04
 465625   1.36251268e+01   1.36283922e+01   2.39630041e-04
 468750   1.36310873e+01   1.36350460e+01   2.90375028e-04
 471875   1.36370478e+01   1.36417150e+01   3.42191634e-04
 475000   1.36430082e+01   1.36482716e+01   3.85715044e-04
 478125   1.36489687e+01   1.36548405e+01   4.30106476e-04
 481250   1.36549292e+01   1.36614351e+01   4.76342015e-04
 484375   1.36608896e+01   1.36678143e+01   5.06766024e-04
 487500   1.36668501e+01   1.36742754e+01   5.43160364e-04
 490625   1.36728106e+01   1.36807079e+01   5.77430415e-04
 493750   1.36787710e+01   1.36869841e+01   6.00242405e-04
 496875   1.36847315e+01   1.36933260e+01   6.27839472e-04
 500000   1.36906919e+01   1.36996069e+01   6.50956586e-04
 503125   1.36966524e+01   1.37058382e+01   6.70434732e-04
 506250   1.37026129e+01   1.37120018e+01   6.84957544e-04
 509375   1.37085733e+01   1.37181597e+01   6.99050375e-04
 512500   1.37145338e+01   1.37243481e+01   7.15354399e-04
 515625   1.37204943e+01   1.37303686e+01   7.19419564e-04
 518750   1.37264547e+01   1.37363901e+01   7.23550620e-04
 521875   1.37324152e+01   1.37424269e+01   7.28788378e-04
 525000   1.37383757e+01   1.37484064e+01   7.29859632e-04
 528125   1.37443361e+01   1.37543278e+01   7.26700469e-04
 531250   1.37502966e+01   1.37601957e+01   7.19662814e-04
 534375   1.37562571e+01   1.37660780e+01   7.13670393e-04
